seqname,source,feature,start,end,score,strand,frame,hid,hstart,hend,genscan,gene_id,transcript_id,exon_id,gene_type,variation_name,probe_name
20,Ensembl,gene,58850530,58850903,.,-,0,,,,,ENSG00000235590,ENST00000424094,ENSE00001690307,antisense,,
20,Ensembl,gene,58848879,58848917,.,-,0,,,,,ENSG00000235590,ENST00000424094,ENSE00001760223,antisense,,
20,Ensembl,gene,58842433,58842545,.,-,0,,,,,ENSG00000235590,ENST00000424094,ENSE00001701934,antisense,,
20,Ensembl,gene,58841937,58842229,.,-,0,,,,,ENSG00000235590,ENST00000424094,ENSE00001705034,antisense,,
20,Ensembl,gene,58818919,58819255,.,-,0,,,,,ENSG00000235590,ENST00000424094,ENSE00001708174,antisense,,
20,Ensembl,gene,58840005,58840175,.,-,0,,,,,ENSG00000235590,ENST00000631314,ENSE00003763500,antisense,,
20,Ensembl,gene,58826025,58826137,.,-,0,,,,,ENSG00000235590,ENST00000631314,ENSE00003061825,antisense,,
20,Ensembl,gene,58819078,58819255,.,-,0,,,,,ENSG00000235590,ENST00000631314,ENSE00003763410,antisense,,
20,Ensembl,gene,58850530,58850878,.,-,0,,,,,ENSG00000235590,ENST00000598163,ENSE00003103609,antisense,,
20,Ensembl,gene,58848879,58848917,.,-,0,,,,,ENSG00000235590,ENST00000598163,ENSE00001760223,antisense,,
20,Ensembl,gene,58826025,58826137,.,-,0,,,,,ENSG00000235590,ENST00000598163,ENSE00003061825,antisense,,
20,Ensembl,gene,58824027,58824073,.,-,0,,,,,ENSG00000235590,ENST00000598163,ENSE00002997719,antisense,,
20,Ensembl,gene,58838725,58840844,.,-,0,,,,,ENSG00000235590,ENST00000443966,ENSE00001627230,antisense,,
20,Ensembl,gene,58826736,58826956,.,-,0,,,,,ENSG00000235590,ENST00000443966,ENSE00003764452,antisense,,
20,Ensembl,gene,58852714,58855333,.,+,-1,,,,,ENSG00000087460,ENST00000371100,ENSE00003612164,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,1,,,,,ENSG00000087460,ENST00000371100,ENSE00003480754,protein_coding,,
20,Ensembl,gene,58898941,58898985,.,+,2,,,,,ENSG00000087460,ENST00000371100,ENSE00003586723,protein_coding,,
20,Ensembl,gene,58903531,58903585,.,+,2,,,,,ENSG00000087460,ENST00000371100,ENSE00003690843,protein_coding,,
20,Ensembl,gene,58903672,58903791,.,+,0,,,,,ENSG00000087460,ENST00000371100,ENSE00003666581,protein_coding,,
20,Ensembl,gene,58905383,58905480,.,+,0,,,,,ENSG00000087460,ENST00000371100,ENSE00003788021,protein_coding,,
20,Ensembl,gene,58909162,58909216,.,+,2,,,,,ENSG00000087460,ENST00000371100,ENSE00003621596,protein_coding,,
20,Ensembl,gene,58909350,58909423,.,+,0,,,,,ENSG00000087460,ENST00000371100,ENSE00003785267,protein_coding,,
20,Ensembl,gene,58909521,58909579,.,+,2,,,,,ENSG00000087460,ENST00000371100,ENSE00003500528,protein_coding,,
20,Ensembl,gene,58909684,58909804,.,+,1,,,,,ENSG00000087460,ENST00000371100,ENSE00003513281,protein_coding,,
20,Ensembl,gene,58909951,58910081,.,+,2,,,,,ENSG00000087460,ENST00000371100,ENSE00003576231,protein_coding,,
20,Ensembl,gene,58910334,58910401,.,+,1,,,,,ENSG00000087460,ENST00000371100,ENSE00003564247,protein_coding,,
20,Ensembl,gene,58910683,58911192,.,+,0,,,,,ENSG00000087460,ENST00000371100,ENSE00003658282,protein_coding,,
20,Ensembl,gene,58853263,58855333,.,+,-1,,,,,ENSG00000087460,ENST00000371099,ENSE00003599848,protein_coding,,
20,Ensembl,gene,58855554,58857191,.,+,1,,,,,ENSG00000087460,ENST00000371099,ENSE00000662970,protein_coding,,
20,Ensembl,gene,58853263,58855333,.,+,-1,,,,,ENSG00000087460,ENST00000371102,ENSE00003599848,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,1,,,,,ENSG00000087460,ENST00000371102,ENSE00003480754,protein_coding,,
20,Ensembl,gene,58903528,58903585,.,+,2,,,,,ENSG00000087460,ENST00000371102,ENSE00003567817,protein_coding,,
20,Ensembl,gene,58903672,58903791,.,+,0,,,,,ENSG00000087460,ENST00000371102,ENSE00003666581,protein_coding,,
20,Ensembl,gene,58905383,58905480,.,+,0,,,,,ENSG00000087460,ENST00000371102,ENSE00003788021,protein_coding,,
20,Ensembl,gene,58909162,58909216,.,+,2,,,,,ENSG00000087460,ENST00000371102,ENSE00003621596,protein_coding,,
20,Ensembl,gene,58909350,58909423,.,+,0,,,,,ENSG00000087460,ENST00000371102,ENSE00003785267,protein_coding,,
20,Ensembl,gene,58909521,58909579,.,+,2,,,,,ENSG00000087460,ENST00000371102,ENSE00003500528,protein_coding,,
20,Ensembl,gene,58909684,58909804,.,+,1,,,,,ENSG00000087460,ENST00000371102,ENSE00003513281,protein_coding,,
20,Ensembl,gene,58909951,58910081,.,+,2,,,,,ENSG00000087460,ENST00000371102,ENSE00003576231,protein_coding,,
20,Ensembl,gene,58910334,58910401,.,+,1,,,,,ENSG00000087460,ENST00000371102,ENSE00003564247,protein_coding,,
20,Ensembl,gene,58910683,58911192,.,+,0,,,,,ENSG00000087460,ENST00000371102,ENSE00003658282,protein_coding,,
20,Ensembl,gene,58853263,58855333,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003634933,protein_coding,,
20,Ensembl,gene,58891582,58891865,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003172037,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003685749,protein_coding,,
20,Ensembl,gene,58898941,58898985,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003529070,protein_coding,,
20,Ensembl,gene,58903531,58903585,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003546600,protein_coding,,
20,Ensembl,gene,58903672,58903791,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003550717,protein_coding,,
20,Ensembl,gene,58905383,58905480,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003588410,protein_coding,,
20,Ensembl,gene,58909162,58909216,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003488234,protein_coding,,
20,Ensembl,gene,58909350,58909423,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003526646,protein_coding,,
20,Ensembl,gene,58909521,58909579,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003574089,protein_coding,,
20,Ensembl,gene,58909684,58909804,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003480263,protein_coding,,
20,Ensembl,gene,58909951,58910081,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003531889,protein_coding,,
20,Ensembl,gene,58910334,58910401,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003690352,protein_coding,,
20,Ensembl,gene,58910683,58911192,.,+,-1,,,,,ENSG00000087460,ENST00000464624,ENSE00003657553,protein_coding,,
20,Ensembl,gene,58853456,58855333,.,+,0,,,,,ENSG00000087460,ENST00000306120,ENSE00001168840,protein_coding,,
20,Ensembl,gene,58854169,58855333,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00001891625,protein_coding,,
20,Ensembl,gene,58855554,58855644,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00001832818,protein_coding,,
20,Ensembl,gene,58856147,58856213,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00001926053,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00003685749,protein_coding,,
20,Ensembl,gene,58898941,58898985,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00003529070,protein_coding,,
20,Ensembl,gene,58899949,58900410,.,+,-1,,,,,ENSG00000087460,ENST00000481768,ENSE00003570918,protein_coding,,
20,Ensembl,gene,58854941,58855333,.,+,1,,,,,ENSG00000087460,ENST00000639562,ENSE00003805336,protein_coding,,
20,Ensembl,gene,58855554,58855644,.,+,1,,,,,ENSG00000087460,ENST00000639562,ENSE00003802007,protein_coding,,
20,Ensembl,gene,58856147,58856213,.,+,2,,,,,ENSG00000087460,ENST00000639562,ENSE00003810099,protein_coding,,
20,Ensembl,gene,58855107,58855333,.,+,2,,,,,ENSG00000087460,ENST00000450130,ENSE00001674328,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,1,,,,,ENSG00000087460,ENST00000450130,ENSE00003480754,protein_coding,,
20,Ensembl,gene,58903531,58903585,.,+,2,,,,,ENSG00000087460,ENST00000450130,ENSE00003690843,protein_coding,,
20,Ensembl,gene,58903672,58903791,.,+,0,,,,,ENSG00000087460,ENST00000450130,ENSE00003666581,protein_coding,,
20,Ensembl,gene,58905383,58905480,.,+,0,,,,,ENSG00000087460,ENST00000450130,ENSE00003788021,protein_coding,,
20,Ensembl,gene,58909162,58909183,.,+,2,,,,,ENSG00000087460,ENST00000450130,ENSE00001707895,protein_coding,,
20,Ensembl,gene,58855147,58855333,.,+,0,,,,,ENSG00000087460,ENST00000349036,ENSE00001691399,protein_coding,,
20,Ensembl,gene,58895612,58895684,.,+,1,,,,,ENSG00000087460,ENST00000349036,ENSE00003480754,protein_coding,,
20,Ensembl,gene,58898941,58898985,.,+,2,,,,,ENSG00000087460,ENST00000349036,ENSE00003586723,protein_coding,,
